Willie Aames,Aames,,unknown,,1960,,1984+,
Bud Abbott, Abbott,,straight comedian,,1895,1939,1974,1956
Diahnne Abbott, ,,sexy,,,1976,1992+,1982  
George Abbott,Abbott,,"playwright, producer",,1887,1928,1984+,1958
John Abbott,Abbott,,"staring eyes, eccentric parts",,1905,1937,1984+,1975
Philip Abbott,Abbott,,second lead,,1923,1957,1984+,1973
Kareem AbdulJabbar,,,basketball player,,,,1992+,
Walter Abel,Abel,,harrassed hero,,1898,1935,1987,1974
F.Murray Abraham,,,unknown,,,1983,1992+,
James Abrahams,,,unknown,,,,1992+,
Maury Abram,,,unknown,,,,1992+,
Victoria Abril,,,sexy,,,1985,1992+,1990
Joss Ackland,Ackland,,larger-than-life personality,,1928,1949,1984+,1979
Dan Ackroyd,Ackroyd,,comic,,,1979,1984+,1990
David Ackroyd,,,unknown,,1940,,1984+,
Peter Ackroyd,,,unknown,,,,1992+,
Rodolfo Acosta,Acosta,,cold-eyed,,1920,1948,1974,1967
Eddie Acuff,Acuff,,supporting comedian,,1902,1935,1956,1947
Jean Adair,Adair,,sweet aunt,,1872,1922,1956,1947
Alfred Adam,Adam,,"weak, villainous",,1909,1935,1982,1961
Ronald Adam,Adam,,"well-bred, stuffy professional",,1896,1938,1979,1971
John Adames,,,unknown,,,,1992+,
Beverly Adams,Adams,,lead,,1945,1963,1984+,1967
Brooke Adams,Adams,,laid-back,,1949,1977,1984+,1983
Catlin Adams,Barab,,unknown,,1950,,1984+,
Dorothy Adams,Adams,,timorous sullen,,1915,1938,1984+,1976
Edie Adams,Enke,,pert comedienne,,1929,1960,1984+,1979
Jane Adams,Adams,,unknown,,1921,1945,1984+,1949
Jill Adams,Adams,,pert light lead,,1931,1954,1984+,1966
Julie Adams,Adams,,soft,,1926,1947,1984+,1981
Maud Adams,Wikstrom,,lead,,1950,1952,1984+,1967
Nick Adams,Adamschock,,neurotic aggressive lead,,1931,1952,1968,1967
Robert Adams,Adams,,black,,1906,1935,1984+,1947
Sam Adams,,,comic,,,,1992+,
Tome Adams,Adams,,burly,,1938,1963,1984+,1975
Dawn Addams,Addams,,"smart, glamorous",,1930,1951,1985,1977
Wesley Addy,Addy,,"humourless, sinister",,1912,1951,1997,1982
Isabelle Adjani,Adjani,,lead,,1955,1971,1984+,1983
Jay Adler,Adler,,character,,1899,1938,1978,1965
Luther Adler,Adler,,heavy,,1903,1937,1984,1981
Renee Adoree,de la Font\`e,,exotic,,1898,1920,1933,1930
Mario Adorf,Adorf,,European films,,1930,1959,1984+,1981
Max Adrian,Bor,,high camp personality,,1902,1934,1973,1971
Ben Affleck,Affleck,,lead,,,1997,,2000
Casey Affleck,Affleck,,lead,,,1996,,1997
John Agar,Agar,,lead,,1921,1948,1984+,1976
Rati Agnihotri,bn,,modern dancer,,1960,1985,1984+,
Jenny Agutter,Agutter,,lead,,1952,1964,1984+,1981
Brian Aherne,Aherne,,gentle lead,,1902,1924,1986,1967
Philip Ahn,Ahn,,Asiatic,,1911,1936,1978,1975
Anouk Aimee,Dreyfus,,poised heartthrob,,1932,1947,1984+,1983
Richard Ainley,Ainley,,unknown,,1910,1936,1967,1949
Maria Aitkins,,,unknown,,,1989,1992+,
Franklyn Ajaye,,,unknown,,1949,1976,1984+,1978
Muriel Aked,Aked,,"comedy spinster, gossip",,1887,1922,1955,1953
Claude Akins,Akins,,"western villain, burly middle-aged hero",,1918,1953,1994,1979
