H1,Always Tell Your Wife,1922
H2,Number Thirteen,1922
H3,Woman to Woman,1922
H4,The Passionate Adventure,1924
H5,The Blackguard,1925
H7,The Pleasure Garden,1925
H8,The Mountain Eagle,1926
H9,The Lodger: A Story of The London Fog,1926
H10,Downhill,1927
H11,Easy Virtue,1927
H12,The Ring,1927
H13,The Farmer's Wife,1928
H14,Champagne,1928
H15,Harmony Heaven,1929
H16,The Manxman,1929
H17,Blackmail,1929
H18,Elstree Calling,1929
H19,Juno And The Paycock,1930
H20,Murder!,1930
H21,The Skin Game,1931
H22,Rich and Strange,1932
H23,Number Seventeen,1932
H24,Lord Camber's Ladies,1932
H25,Waltzes From Vienna,1933
H26,The Man Who Knew Too Much,1934
H27,The 39 Steps,1935
H28,Secret Agent,1936
H29,Sabotage,1936
H30,Young and Innocent,1938
H31,The Lady Vanishes,1938
H32,Jamaica Inn,1939
H33,Rebecca,1940
H34,Foreign Correspondent,1940
H35,Mr.~and Mrs.~Smith,1941
H36,Suspicion,1941
H37,Saboteur,1942
H38,Shadow of a Doubt,1943
H39,Lifeboat,1943
H42,Spellbound,1945
H43,Notorious,1946
H44,The Paradine Case,1947
H45,Rope,1948
H46,Under Capricorn,1949
H47,Stage Fright,1950
H48,Strangers on a Train,1951
H49,I Confess,1952
H50,Dial M for Murder,1954
H51,Rear Window,1954
H52,To Catch a Thief,1955
H53,The Trouble with Harry,1956
H57,The Man Who Knew Too Much,1956
H61,The Wrong Man,1957
H65,Vertigo,1958
H69,North by Northwest,1959
H73,Psycho,1960
H79,The Birds,1963
H80,Marnie,1964
H81,Torn Curtain,1966
H82,Topaz,1969
H83,Frenzy,1972
H84,Family Plot,1976
H40,Aventure Malgache,1944
H41,Bon Voyage,1944
H54,Revenge,1955
H55,Breakdown,1955
H56,The Case of Mr.~Pelham,1955
H58,Back For Christmas,1956
H59,Wet Saturday,1956
H60,Mr.~Blanchhard's Secret,1956
H62,One More Mile To Go,1957
H63,Four O'Clock,1957
H64,The Perfect Crime,1957
H66,Lamb To The Slaughter,1958
H67,A Dip In The Pool,1958
H68,Poison,1958
H70,Banquo's Chair,1959
H71,Arthur,1959
H72,The Crystal Trench,1959
H74,Incident at a Corner,1960
H75,Mrs.~Bixby and The Colonel's Coat,1960
H76,The Horseplayer,1961
H77,Bang! You're Dead,1961
H78,I Saw The Whole Thing,1962
WKD10,The Edison Kinetopic Record of A Sneeze,1893
WKD50,"Terrible Teddy, the Grizzly King",1901
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,1895
ALu2,La Sortie des Usines Lumi\`ere,1895
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,1895
ALu4,Le Gouter de B\'eb\'e,1895
ALu5,L'Arroseur arross\'e,1895
ALu6,Barque Quittant le Port,1895
ALu7,Boules,1895
ALu30,L'assissinatat du Duc de Guise,1908
ESP9,Jack and the Beanstalk,1902
ESP10,Uncle Tom's Cabin,1902
ESP11,Life of an American Fireman,1903
ESP12,The Great Train Robbery,1903
ESP16,The Little Train Robbery,1905
ESP17,The Kleptomaniac,1905
ESP25,The Count of Monte Christo,1912
ESP26,The Prisoner of Zenda,1912
ESP27,His Neighbor's Wife,1912
ESP28,Tess of the d'Ubervilles,1912
ESP30,An American Citizen,1913
ESP31,A Good Little Devil,1913
ESP32,In The Bishop's Carriage,1913
ESP33,Caprice,1913
ESP34,Hearts Adrift,1913
ESP40,Tess of The Storm Country,1914
GMs1,L'Escamontage d'une Dame,1896
GMs2,L'Homme orchestre,1900
GMs4,Cinderella,1900
GMs6,Le voyage dans la lune,1902
GMs8,Danseuse Microscopique,1902
GMs12,An Impossible Voyage,1904
GMs20,L'Homme a la Tete en Caoutchouc,1906
AMv10,The Downward Path,1900
Z0001,Hamlet,1900
Z0002,Romea and Juliet,1900
Z0003,King Lear,1905
Z0004,Julius Cesar,1907
Z0005,Othello,1907
Z0006,Macbeth,1908
Z0007,Richard III,1908
WRB10,The Magic Sword or A Medieval Mystery,1891
CPa1,La Passion,1902
CPa50,Les Mis\'erables,1909
WHa1,The Maniac's Guillotine,1902
WHa8,The Life of Charles Pierce,1905
WMc10,Kit Carson,1903
ThE10,Parsifal,1904
JaC1,The Wagon Trails,1906
JaC7,Too Many Millions,1918
JaC10,The Covered Wagon,1923
JaC12,Hollywood,1918
JaC15,Ruggles of Red Gap,1918
JaC20,Beggars on Horseback,1925
JaC23,Pony Express,1925
JaC25,Old Ironsides,1926
JaC28,The Great Gabbo,1929
JaC33,Washington Merry Go Round,1932
JaC35,I Cover the Waterfront,1933
JaC40,Sutter's Gold,1936
GKS60,The Dead Man's Claim,1912
LMi1,The Last Days of Pompeii,1908
LMi5,Nero and the Burning of Rome,1909
LMi23,Autumn Sunset Dream,1911
LMi25,The Ship with the Lions,1912
LMi35,The Lion of Venice,1914
