H1,Always Tell Your Wife,Dram
H3,Woman to Woman,Dram
H7,The Pleasure Garden,Dram
H8,The Mountain Eagle,Dram
H9,The Lodger: A Story of The London Fog,Susp
H10,Downhill,Susp
H11,Easy Virtue,Susp
H12,The Ring,Susp
H13,The Farmer's Wife,Susp
H14,Champagne,Romt
H15,Harmony Heaven,Susp
H16,The Manxman,Susp
H17,Blackmail,Susp
H18,Elstree Calling,Musc
H19,Juno And The Paycock,Susp
H20,Murder!,Myst
H21,The Skin Game,Dram
H22,Rich and Strange,susp
H23,Number Seventeen,Myst
H24,Lord Camber's Ladies,Susp
H25,Waltzes From Vienna,Romt
H25,Waltzes From Vienna,Comd
H26,The Man Who Knew Too Much,Susp
H27,The 39 Steps,Susp
H28,Secret Agent,Susp
H29,Sabotage,Susp
H30,Young and Innocent,Susp
H31,The Lady Vanishes,Susp
H32,Jamaica Inn,Dram
H33,Rebecca,Dram
H34,Foreign Correspondent,Susp
H35,Mr.~and Mrs.~Smith,Romt
H36,Suspicion,Susp
H37,Saboteur,Susp
H38,Shadow of a Doubt,Susp
H39,Lifeboat,Susp
H42,Spellbound,Susp
H43,Notorious,Susp
H44,The Paradine Case,Susp
H45,Rope,Susp
H46,Under Capricorn,Dram
H47,Stage Fright,Susp
H48,Strangers on a Train,Susp
H49,I Confess,Susp
H50,Dial M for Murder,Susp
H51,Rear Window,Susp
H52,To Catch a Thief,Susp
H53,The Trouble with Harry,Susp
H57,The Man Who Knew Too Much,Susp
H61,The Wrong Man,Susp
H61,The Wrong Man,Docu
H65,Vertigo,Susp
H69,North by Northwest,Susp
H73,Psycho,Susp
H79,The Birds,Susp
H80,Marnie,Susp
H81,Torn Curtain,Susp
H82,Topaz,Susp
H83,Frenzy,Susp
H84,Family Plot,Susp
H40,Aventure Malgache,Advt
H41,Bon Voyage,Advt
H54,Revenge,Susp
H55,Breakdown,Susp
H56,The Case of Mr.~Pelham,Susp
H58,Back For Christmas,Susp
H59,Wet Saturday,Susp
H60,Mr.~Blanchhard's Secret,Susp
H62,One More Mile To Go,Susp
H63,Four O'Clock,Susp
H64,The Perfect Crime,Susp
H66,Lamb To The Slaughter,Susp
H67,A Dip In The Pool,Susp
H68,Poison,Susp
H70,Banquo's Chair,Susp
H71,Arthur,Susp
H72,The Crystal Trench,Susp
H74,Incident at a Corner,Susp
H75,Mrs.~Bixby and The Colonel's Coat,Susp
H76,The Horseplayer,Susp
H77,Bang! You're Dead,Susp
H78,I Saw The Whole Thing,Susp
WKD10,The Edison Kinetopic Record of A Sneeze,Docu
WKD50,"Terrible Teddy, the Grizzly King",Comd
ALu2,La Sortie des Usines Lumi\`ere,Docu
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,Docu
ALu5,L'Arroseur arross\'e,Comd
ALu6,Barque Quittant le Port,Docu
ALu30,L'assissinatat du Duc de Guise,Actn
ESP9,Jack and the Beanstalk,Comd
ESP10,Uncle Tom's Cabin,Comd
ESP11,Life of an American Fireman,West
ESP12,The Great Train Robbery,West
ESP25,The Count of Monte Christo,Dram
ESP26,The Prisoner of Zenda,Dram
ESP27,His Neighbor's Wife,Dram
ESP28,Tess of the d'Ubervilles,Dram
ESP40,Tess of The Storm Country,Dram
GMs4,Cinderella,Fant 
GMs6,Le voyage dans la lune,ScFi
GMs6,Le voyage dans la lune,Cart
GMs8,Danseuse Microscopique,ScFi
GMs20,L'Homme a la Tete en Caoutchouc,Fant
AMv10,The Downward Path,Dram
WRB10,The Magic Sword or A Medieval Mystery,Fant
CPa50,Les Mis\'erables,Dram
WHa1,The Maniac's Guillotine,Horr
WHa8,The Life of Charles Pierce,BioP
WMc10,Kit Carson,Advt
ThE10,Parsifal,Musc
ThE10,Parsifal,BioP
JaC1,The Wagon Trails,Advt
JaC10,The Covered Wagon,West
JaC15,Ruggles of Red Gap,West
JaC20,Beggars on Horseback,West
JaC23,Pony Express,West
JaC25,Old Ironsides,Advt
JaC28,The Great Gabbo,Musc
GKS60,The Dead Man's Claim,West
LMi1,The Last Days of Pompeii,Hist
LMi5,Nero and the Burning of Rome,Hist
LMi23,Autumn Sunset Dream,Dram
LMi25,The Ship with the Lions,Dram
LMi35,The Lion of Venice,Dram
DWG7,The Sealed Room,Dram
DWG8,A Corner in Wheat,Dram
DWG9,The Lonely Villa,Dram
DWG10,The Life of Edgar Allen Poe,BioP
DWG11,The Curtain Pole,Comd
DWG15,Song of the Wildwood Flute,West
DWG27,Enoch Arden,Dram
DWG40,The Raven,BioP
DWG49,The Battle at Elderbush Gulch,West
DWG50,Judith of Bethulia,Dram
DWG51,The Clansman,Epic
DWG52,Intolerance,Epic
DWG52,Intolerance,Dram
DWG55,The Greatest Question,Dram
DWG57,Broken Blossoms,Dram
DWG58,True Heart Susie,Romt
DWG64,Way Down East,Dram
DWG67,Orphans of the Storm,Epic
DWG71,America,West
DWG71,America,Dram
DWG72,Isn't life Wonderful,Dram
DWG72,Isn't life Wonderful,Docu
DWG80,Abraham Lincoln,BioP
Z0210,Romeo and Juliet,Romt
Z0220,Romeo and Juliet,Romt
Z0230,Romeo and Juliet,Romt
Z0240,Romeo and Juliet,Romt
Z0250,Romeo and Juliet,Romt
Z0260,Romeo and Juliet,Romt
Z0270,Romeo and Juliet,Romt
EiC10,Le Binetoscope,Cart
GdL10,"Marin Valiero, Doge of Venice",Hist
MCs2,The Pilgrim's Progress,Dram
MCs3,Macbeth,Dram
MCs10,Love Everlasting,Dram
WMk10,Gertie the Dino,Cart
FkP10,All on Account of Milk,Romt
GlS10,The Merchant of Venice,Dram
ISB10,Life of Moses,Biop
ThB10,The Old Curiosity Shop,Dram
ThB30,The Old Curiosity Shop,Dram
ThB55,Hobson's Choice,Dram
UgF10,Salome,Dram
UgF12,Francesca di Rimini,Romt
APv11,Homer's Odyssey,Advt
AuB10,The Vampire Dancer,Dram
ThI10,Little Dove's Romance,West
ThI18,Battle of the Red Men,West
ThI33,The Death Mask,West
ThI40,Civilization,Fant
ThI65,Custer's Last Fight,West
UrG10,The Aviator's Generosity,Dram
WmH10,A Tale of Two Cities,Dram
ADw5,Maiden and Men,Dram
ADw6,Their Hero Son,Dram
ADw17,Robin Hood,Advt
ADw22,The Iron Mask,Advt
ADw27,Manhandled,Romt
ADw35,Heidi,Romt
ADw40,Rebecca of Sunnybrook Farm,Dram
ADw45,The Three Musketeers,Actn
ADw52,Around the World,Musc
ADw60,Sands of Iwo Jima,Actn
ADw70,Cattle Queen of Montana,West
ADw72,Passion,West
ADw75,Tennessee's Partner,West
ADw78,Pearl of the South Pacific,Advt
ADw80,Slightly Scarlet,Dram
AEG37,Baby Face,Dram
AEG41,Dangerous,Dram
AEG50,The Gracie Allen Murder Case,Myst
AEG60,The Jolson Story,BioP
AEG60,The Jolson Story,Musc
AEG70,The Eddie Cantor Story,BioP
AEG70,The Eddie Cantor Story,Musc
JCw41,Bringing Up Father,Comd 
JCw44,Our Modern Maidens,Romt
JCw50,Just a Gigolo,Comd
JCw53,Red-headed Woman,Dram
JCw57,Viva Villa,Epic
JCw61,A Tale of Two Cities,Dram
JCw62,Libeled Lady,Romt
JDu10,Comedy of the absurd,Comd
MaT10,Alias Jimmy Valentine,CnRb
MaT25,The Pride of the Clan,Dram
MaT27,Poor Little Rich Girl,Dram
MaT40,Au nom de la loi,CnRb
LMe10,Queen Elizabeth,BioP
LoW3,How Men Propose,Dram
LoW5,Where are My Children,Dram
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",Musc
ME180,The Lodger,Susp
ME240,The Spider,Susp
MSe10,Dough and Dynamite,Comd
MSe15,Fatty and Mabel at the San Diego Exposition,Comd
MSe18,Fatty and Mabel's Simple Life,Comd
MSt30,Erotikon,Comd
MSt30,Erotikon,Dram
MSt40,The Saga of Gosta Berlin,Romt
MSt53,The Temptress,Dram
SiO10,From the Manger to the Cross,Hist
SiO30,Monsieur Beaucaire,Hist
VSj1,Tradgardsmastaren,Dram
VSj6,The Scarlet Letter,Dram
VSj7,The Divine Woman,BioP
VSj8,The Wind,Dram
Z1210,Within the Law,CnRb
Z1220,Within the Law,CnRb
Z1230,Within the Law,CnRb
ElR10,The Last Days of Pompeii,Dram
NOx20,Rhapsodia Satanica,Romt
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",DRam
BuG10,Blade O'Grass,West
CDM0,California,Musc
CDM1,The Squaw Man,West
CDM3,The Virginian,Dram
CDM5,Brewster's Millions,Dram
CDM6,Rose of the Rancho,Dram
CDM7,The Ghost Breaker,Dram
CDM9,The Girl of the Golden West,Dram
CDM15,Carmen,Dram
CDM17,The Captive,Dram
CDM18,The Cheat,Dram
CDM19,The Trail of the Lonesome Pine,Dram
CDM22,"Joan, the Woman",Dram
CDM32,The Squaw Man,West
CDM40,The Affairs of Anatol,Romt
CDM45,The Ten Commandments,Epic
