H1,Always Tell Your Wife,Lasky,R
H2,Number Thirteen,Hitchcock,R
H3,Woman to Woman,Balcon,R
H4,The Passionate Adventure,Balcon,R
H5,The Blackguard,Balcon,R
H7,The Pleasure Garden,Balcon,R
H8,The Mountain Eagle,Balcon,R
H9,The Lodger: A Story of The London Fog,Balcon,R
H10,Downhill,Balcon,R
H11,Easy Virtue,Balcon,R
H12,The Ring,J.Maxwell,R
H13,The Farmer's Wife,J.Maxwell,R
H14,Champagne,J.Maxwell,R
H16,The Manxman,J.Maxwell,R
H17,Blackmail,J.Maxwell,R
H19,Juno And The Paycock,J.Maxwell,R
H20,Murder!,J.Maxwell,R
H20,Murder!,Alfred Abel,X
H21,The Skin Game,J.Maxwell,R
H22,Rich and Strange,J.Maxwell,R
H23,Number Seventeen,J.Maxwell,R
H24,Lord Camber's Ladies,Hitchcock,R
H25,Waltzes From Vienna,Tom Arnold,N
H26,The Man Who Knew Too Much,Balcon,R
H26,The Man Who Knew Too Much,Montagu,X
H27,The 39 Steps,Balcon,R
H27,The 39 Steps,Montagu,X
H28,Secret Agent,Balcon,R
H28,Secret Agent,Montagu,X
H29,Sabotage,Balcon,R
H29,Sabotage,Montague,X
H30,Young and Innocent,Black,R
H31,The Lady Vanishes,Black,R
H32,Jamaica Inn,Pommer,R
H32,Jamaica Inn,Laughton,X
H33,Rebecca,Selznick,R
H34,Foreign Correspondent,Wanger,R
H35,Mr.~and Mrs.~Smith,Eddington,R
H36,Suspicion,Raphaelson,R
H36,Suspicion,Hitchcock,X
H37,Saboteur,F.Lloyd,R
H37,Saboteur,Skirball,X
H38,Shadow of a Doubt,Skirball,R
H39,Lifeboat,MacGowan,R
H42,Spellbound,Selznick,R
H43,Notorious,Hitchcock,R
H44,The Paradine Case,Selznick,R
H45,Rope,Bernstein,R
H45,Rope,Hitchcock,X
H46,Under Capricorn,Bernstein,R
H46,Under Capricorn,Hitchcock,X
H47,Stage Fright,Hitchcock,R
H47,Stage Fright,Ahern,R
H48,Strangers on a Train,Hitchcock,R
H49,I Confess,Hitchcock,R
H50,Dial M for Murder,Hitchcock,R
H51,Rear Window,Hitchcock,R
H52,To Catch a Thief,Hitchcock,R
H53,The Trouble with Harry,Hitchcock,R
H57,The Man Who Knew Too Much,Hitchcock,R
H61,The Wrong Man,Hitchcock,R
H65,Vertigo,Hitchcock,R
H65,Vertigo,Robert Coleman,X
H69,North by Northwest,Hitchcock,R
H73,Psycho,Hitchcock,R
H79,The Birds,Hitchcock,R
H80,Marnie,Hitchcock,R
H81,Torn Curtain,Hitchcock,R
H82,Topaz,Hitchcock,R
H83,Frenzy,Hitchcock,R
H84,Family Plot,Hitchcock,R
H40,Aventure Malgache,Ministry of Inf.,O
H41,Bon Voyage,Ministry of Inf.,O
H54,Revenge,Hitchcock,R
H55,Breakdown,Hitchcock,R
H56,The Case of Mr.~Pelham,Hitchcock,R
H58,Back For Christmas,Hitchcock,R
H59,Wet Saturday,Hitchcock,R
H60,Mr.~Blanchhard's Secret,Hitchcock,R
H62,One More Mile To Go,Hitchcock,R
H63,Four O'Clock,Hitchcock,R
H64,The Perfect Crime,Hitchcock,R
H64,The Perfect Crime,J.Harrison,R
H66,Lamb To The Slaughter,Hitchcock,R
H67,A Dip In The Pool,Hitchcock,R
H67,A Dip In The Pool,J.Harrison,R
H68,Poison,Hitchcock,R
H68,Poison,J.Harrison,R
H70,Banquo's Chair,Hitchcock,R
H70,Banquo's Chair,J.Harrison,R
H71,Arthur,Hitchcock,R
H71,Arthur,J.Harrison,R
H72,The Crystal Trench,Hitchcock,R
H72,The Crystal Trench,J.Harrison,R
H74,Incident at a Corner,Hitchcock,R
H74,Incident at a Corner,J.Harrison,R
H75,Mrs.~Bixby and The Colonel's Coat,Hitchcock,R
H75,Mrs.~Bixby and The Colonel's Coat,J.Harrison,R
H76,The Horseplayer,Hitchcock,R
H76,The Horseplayer,J.Harrison,R
H77,Bang! You're Dead,Hitchcock,R
H77,Bang! You're Dead,J.Harrison,R
H78,I Saw The Whole Thing,Hitchcock,R
H78,I Saw The Whole Thing,J.Harrison,R
WKD10,The Edison Kinetopic Record of A Sneeze,Thomas A. Edison>,N
WKD50,"Terrible Teddy, the Grizzly King",Thomas A. Edison,N
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,A.Lumiere,R
ESP25,The Count of Monte Christo,Zukor,R
ESP26,The Prisoner of Zenda,Zukor,R
ESP27,His Neighbor's Wife,Zukor,R
ESP28,Tess of the d'Ubervilles,Zukor,R
ESP30,An American Citizen,Zukor,R
ESP31,A Good Little Devil,Zukor,R
ESP32,In The Bishop's Carriage,Zukor,R
ESP33,Caprice,Zukor,R
ESP34,Hearts Adrift,Zukor,R
ESP40,Tess of The Storm Country,Zukor,R
CPa1,La Passion,Pathe,R
WHa1,The Maniac's Guillotine,Haggar,R
WHa8,The Life of Charles Pierce,Haggar,R
ThE10,Parsifal,Edison,N
GKS60,The Dead Man's Claim,Spoor,R
LMi5,Nero and the Burning of Rome,Arturo Ambrosio,N
DWG52,Intolerance,Griffith,R
DWG57,Broken Blossoms,Griffith,R
DWG64,Way Down East,Griffith,R
DWG71,America,Griffith,R
DWG80,Abraham Lincoln,Joseph Schenck,N
ThI33,The Death Mask,Th.Ince,R
ThI40,Civilization,none,N
ThI65,Custer's Last Fight,Th.ince,R
ADw17,Robin Hood,Fairbanks~sr,R
ADw22,The Iron Mask,Fairbanks~sr,R
ADw27,Manhandled,William leBaron,N
ADw35,Heidi,R.Griffith,R
ADw40,Rebecca of Sunnybrook Farm,R.Griffith,R
ADw41,Suez,D.Markey,R
ADw45,The Three Musketeers,R.Griffith,R
ADw52,Around the World,Dwan,R
ADw60,Sands of Iwo Jima,Edward Grainger,N
ADw70,Cattle Queen of Montana,Bogeaus,R
ADw72,Passion,Bogeaus,R
ADw75,Tennessee's Partner,Bogeaus,R
ADw78,Pearl of the South Pacific,Bogeaus,R
AEG39,I Loved a Woman,Blanke,R
AEG41,Dangerous,Harry Joe Brown,N
AEG60,The Jolson Story,Sidney Skolsky,N
AEG70,The Eddie Cantor Story,Sidney Skolsky,N
JCw61,A Tale of Two Cities,Selznick,N
JCw62,Libeled Lady,Lawrence Weingarten,N
MaT10,Alias Jimmy Valentine,World,N
ME240,The Spider,Victor M. Greene,N
MSe10,Dough and Dynamite,Mack~Sennett,R
MSe15,Fatty and Mabel at the San Diego Exposition,Mack~Sennett,R
MSe18,Fatty and Mabel's Simple Life,Mack~Sennett,R
VSj8,The Wind,Lars Hanson,N
CDM0,California,Lasky,R
CDM1,The Squaw Man,Lasky,N
CDM3,The Virginian,Lasky,N
CDM5,Brewster's Millions,Lasky,R
CDM6,Rose of the Rancho,Lasky,R
CDM7,The Ghost Breaker,Lasky,R
CDM45,The Ten Commandments,DeMille,R
CDM51,The King of Kings,deMille,R
CDM56,The Sign of the Cross,DeMille,R
CDM59,Cleopatra,deMille,R
CDM64,The Plainsman,Zukor,R
CDM73,Union Pacific,deMille,R
CDM77,Unconquered,deMille,R
CDM80,The Ten Commandments,Henry Wilcoxon,N
GBS92,The Last of the Mohicans,Edward Small,N
GBS100,6000 Enemies,Lucien Hubbard,N
BHd10,East Lynne,William George Barker,R
HBn30,Beau Geste,Brenon,R
HBn40,Beau Ideal,William leBaron,N
HHS1,The White Goddess of the Wangora,Schomburgk,R
HHS3,The Heroes of Paratau,Schomburgk,R
HHS6,The Outlaw of the Sudu Mountains,Schomburgk,R
HHS8,Odd Man Out,Schomburgk,R
HHS9,Deutsche in Sudan,Schomburgk,R
HHS12,Eine Weisse unter Kannibalen,Schomburgk,R
HHS13,Ein Abenteurer,Schomburgk,R
HHS14,Tropengift,Schomburgk,R
HHS15,Goldfieber,Schomburgk,R
HHS16,Im Kampf um die Diamantfelder,Schomburgk,R
HHS22,Geheimbundrieten der Frauen in Liberia,Schomburgk,R
HHS24,Mensch und Tier im Urwald,Schomburgk,R
HHS26,"Fahrten und F\""ahrten",Schomburgk,R
HHS28,Verlorenes Land,Schomburgk,R
HHS36,Das Letzte Paradis,Schomburgk,R
HHS38,Die Wildnis Stirbt,Schomburgk,R
HHS48,"Frauen, Masken, und Dam\""onen",Schomburgk,R
HHS50,Abschied von Afrika,Schomburgk,R
AK57,The Private Life of Henry VIII,A.Korda,R
