H1,Always Tell Your Wife,Famous
H2,Number Thirteen,Islington
H3,Woman to Woman,B-S-F
H4,The Passionate Adventure,Gainsborough
H5,The Blackguard,UFA
H7,The Pleasure Garden,Gainsborough and Emelka
H8,The Mountain Eagle,Gainsborough
H8,The Mountain Eagle,Emelka
H9,The Lodger: A Story of The London Fog,Gainsborough
H10,Downhill,Islington; Gainsborough
H11,Easy Virtue,Gainsborough
H12,The Ring,BIP Elstree
H13,The Farmer's Wife,BIP Elstree
H14,Champagne,BIP Elstree
H15,Harmony Heaven,BIP
H16,The Manxman,BIP Elstree
H17,Blackmail,BIP Elstree
H18,Elstree Calling,BIP Elstree
H19,Juno And The Paycock,BIP Elstree
H20,Murder!,BIP Elstree
H21,The Skin Game,BIP Elstree
H22,Rich and Strange,BIP Elstree
H23,Number Seventeen,BIP Elstree
H24,Lord Camber's Ladies,BIP Elstree
H25,Waltzes From Vienna,Lime Grove
H26,The Man Who Knew Too Much,Gaumont Lime Grove
H27,The 39 Steps,Gaumont Lime Grove
H28,Secret Agent,Gaumont Lime Grove
H29,Sabotage,Lime Grove
H30,Young and Innocent,Lime Grove and Pinewood
H31,The Lady Vanishes,Lime Grove Gainsborough
H32,Jamaica Inn,Elstree
H33,Rebecca,Selznick
H34,Foreign Correspondent,U.A.
H35,Mr.~and Mrs.~Smith,RKO
H36,Suspicion,RKO
H37,Saboteur,Universal
H38,Shadow of a Doubt,Universal
H39,Lifeboat,Fox
H42,Spellbound,Selznick
H43,Notorious,RKO
H44,The Paradine Case,Selznick
H45,Rope,Transatlantic
H46,Under Capricorn,Transatlantic
H46,Under Capricorn,MGM British
H47,Stage Fright,Elstree
H48,Strangers on a Train,Warners
H49,I Confess,Warners
H50,Dial M for Murder,Warners
H51,Rear Window,Paramount
H52,To Catch a Thief,Paramount
H53,The Trouble with Harry,Paramount
H57,The Man Who Knew Too Much,Paramount
H61,The Wrong Man,Warners
H65,Vertigo,Paramount
H69,North by Northwest,MGM
H73,Psycho,Shamley
H73,Psycho,Universal
H79,The Birds,Universal
H80,Marnie,Universal
H81,Torn Curtain,Universal
H82,Topaz,Universal
H83,Frenzy,Pinewood
H84,Family Plot,Universal
H40,Aventure Malgache,Elstree
H41,Bon Voyage,Elstree
H54,Revenge,Shamley
H55,Breakdown,Shamley
H56,The Case of Mr.~Pelham,Shamley
H58,Back For Christmas,Shamley
H59,Wet Saturday,Shamley
H60,Mr.~Blanchhard's Secret,Shamley
H62,One More Mile To Go,Shamley
H63,Four O'Clock,Shamley
H64,The Perfect Crime,Shamley
H66,Lamb To The Slaughter,Shamley
H67,A Dip In The Pool,Shamley
H68,Poison,Shamley
H70,Banquo's Chair,Shamley
H71,Arthur,Shamley
H72,The Crystal Trench,Shamley
H74,Incident at a Corner,Shamley
H75,Mrs.~Bixby and The Colonel's Coat,Shamley
H76,The Horseplayer,Shamley
H77,Bang! You're Dead,Shamley
H78,I Saw The Whole Thing,Shamley
WKD10,The Edison Kinetopic Record of A Sneeze,Edison
WKD50,"Terrible Teddy, the Grizzly King",Edison
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,Lumiere
ALu2,La Sortie des Usines Lumi\`ere,Lumiere
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,Lumiere
ALu4,Le Gouter de B\'eb\'e,Lumiere
ALu5,L'Arroseur arross\'e,Lumiere
ALu6,Barque Quittant le Port,Lumiere
