Aaron,PAa,,\Un,,,Aaron,\Am,D,1979,Paul
Abel,JeA,,\Un,,,Abel,\Am,DPW,1971,Jeanne
R.Abel,RAe,1937,2001,,,Abel,\Am,D,1960,Robert
Abbott,GgA,1887,\Un,,1958,Abbott,\Am,AWDP,1929,George
Abraham,AAh,,\Un,,,Abraham,\Am,WD,1999,Adam
Abrahams,xAb,,\Un,,,Abrahams,\Am,WD,1948,
J.Abrahams,JiA,,\Un,,1988,Abrahams,\Am,WD,1980,Jim
Jeffrey~Abrams,,1967,\Un,1991,1992,Abrams,\Am,W,,Jeffrey
Abramson,NAb,,\Un,,,Abramson,\Ct,D,1998,Neil
Abduladze,TAb,,\Un,,,Abduladze,\Ru,D,1977,Tengiz
Abramson,NAb,,\Un,,,Abramson,\Ct,D,1998,Nel
Ackerman,RAA,19xx,\Un,,,Ackerman,\Ct,D,1994,Robert Allan
Acub,NAA,,\Un,,,Acub,\II,D,1957,Nya' Abbas
Ken~Adam,,1921,\Un,1947,1993,Adam,\Ge,V,,Ken
Adams,AAd,,\Un,2002,,Adams,\Am,D,,Andrew
Adamson,AlA,,\Un,,1983,Adamson,\Am,DP,1969,Al
Addis,JuA,,,,1957,Addis,,D,1955,Justus
Adler,GAe,,\Un,,,Adler,\Ct,D,1996,Gilber
C.Adler,CAd,,\Un,,,Adler,\Br,D,1998,Carine
Adlon,PAd,,\Un ,,1994,Adlon,,D,1981,Percy
Adolfi,IGA,1888,1933,,1933,Adolfi,\Am,AD,1915,John G.
Adomenaite,NyA,19xx,\Un,,,Adomenaite,\Ru,D,1991,Niyole
Afredson,DAf,19xx,\Un,,,Afredson,\Sw,D,1993,Daniel
Aghion,GAg,DoB,DoD,,,Aghion,\Fr,D,1999,Gabriel
Aguirre,MoA,19xx,\Un,,,Aguirre,\Ct,D,1991,Monte
Fred~Ahern,,,,,,Ahern,\Br,P,,Fred
Akerman,CAm,19xx,\Un,,1993,Akerman,\Be,D,1969,Chantal
Akkad,MAk,,\Un,,,Akkad,,D,1976,Mustapha
Alardice,,,\Un,,,Allardice,\Am,W,,James
Alda,AAl,1936,\Un,,1986,Alda,\Am,AWD,1979,Alan
Aldrich,RoA,1918,1983,,1981,Aldrich,\Am,DP,1953,Robert
Alea,TGA,1927,1996,,1968,Alea,\Cu,D,1964,Tomas Gutierrez
Alessandrini,GoA,,\Un,,,Alessandrini,\It,D,1942,Goffredo
Alexander,JAx,19xx,\Un,,,Alexander,\Ct,WPD,1992,Jourdon
Alexandrov,GAv,19xx,19xx,,,Alexandrov,\Ru,D,1934,Grigori
Algar,JAl,19xx,\Un,,1999,Algar,\Am,D,1954,James
Aliwalas,FcA,1965,199x,,,Aliwalas,\Ph,WDA,1997,Francisco
Algrant,DAl,19xx,\Un,,,Algrant,\Ct,WD,1994,Dan
M.Allegret,MAl,1900,1973,,1963,All\'egret,\Fr,D,1931,Marc
Y.Allegret,YAl,1907,\Un,,1963,All\'egret,\Fr,D,1941,Yves
C.Allen,CoA,1934,\Un,,1978,Allen,\Am,ADW,1977,Corey
F.Allen,FAl,,\Un,,,Allen,\Am,D,1940,Fred
I.Allen,InA,1916,1991,,1974,Allan,\Am,WPD,1955,Irwin
L.Allen,LAl,1905,\Un,,1963,Allan,\Br,D,1944,Lewis
T.Allen,TAl,,\Un,,,Allan,\Am,WD,1990,Ted
Woody~Allen,WA,1935,\Un,,1991,Konigsberg,\Am,WDAP,1969,Allen Stewart
Allers,RgA,19xx,\Un,,,Allers,\Ct,D,1994,Roger
Almendros,,1931,1992,1965,,Almendros,\Sp,CCoD ,,Nestor
Almond,PlA,,\Un,,1968,Almond,\Ca,DW,1959,Paul
Almodovar,PAl,1951,\Un,,1994,Almod\'ovar,\Sp,DA,1980,Pedro
Altman,RAl,1922,\Un,,1982,Altman,\Am,DWP,1955,Robert
Amadio,SiA,,\Un,,,Amadio,\It,D,1960,Silvio
Amaral,SuA,,\Un,,,Amaral,\Br,D,1985,Suzana
Amelio,GnA,19xx,\Un,,1996,Amelio,\It,D,1993,Gianni
Amenabar,AAm,19xx,19yy,,,Amen\'abar,\Sp,D,1999,Alejandro
Amurri,FAm,,199x,,1994,Amurri,\It,WD,1989,Franco
Amiel,JoA,,\Un,,1993,Amiel,,PD,1990,Jon
Anders,AAn,,\Un,,1194,Anders,\Ct,D,1992,Allison
Andersen,ToA,19xx,\Un,,,Andersen,\Am,D,1974,Thom
B.Anderson,BdA,,\Un,,,Anderson,\Am,D,1996,Brad
K.Anderson,KuA,,\Un,,,Anderson,\Ct,D,1991,Kurt
Lr.Anderson,LrA,,\Un,,,Anderson,\Ct,D,1991,Laurie
L.Anderson,LiA,1923,1994,,1987,Anderson,\Br,DA,1953,Lindsay
M.Anderson,MiA,1920,\Un,,1982,Anderson,\Br,D,1950,Michael
P.Anderson,PTA,19xx,\Un,,,Anderson,\Am,WD,1997,Paul Thomas
S.Anderson,SvA,,\Un,,,Anderson,\Am,D,1992,Steve
W.Anderson,WeA,,\Un,,,Anderson,\Am,D,1996,Wes
